state,year,quarter,insurance_type,count,amount
Dadra & Nagar Haveli & Daman & Diu,2020,3,Insurance,257,65504.0
Dadra & Nagar Haveli & Daman & Diu,2020,4,Insurance,232,149513.0
Dadra & Nagar Haveli & Daman & Diu,2021,1,Insurance,467,285691.0
Dadra & Nagar Haveli & Daman & Diu,2021,2,Insurance,368,275638.0
Dadra & Nagar Haveli & Daman & Diu,2021,3,Insurance,360,273596.0
Dadra & Nagar Haveli & Daman & Diu,2021,4,Insurance,421,425384.0
Dadra & Nagar Haveli & Daman & Diu,2022,1,Insurance,493,720741.0
Dadra & Nagar Haveli & Daman & Diu,2022,2,Insurance,438,686857.0
Dadra & Nagar Haveli & Daman & Diu,2022,3,Insurance,707,983776.0
Dadra & Nagar Haveli & Daman & Diu,2022,4,Insurance,871,1272628.0
Dadra & Nagar Haveli & Daman & Diu,2023,1,Insurance,799,1215168.0
Dadra & Nagar Haveli & Daman & Diu,2023,2,Insurance,694,1058753.0
Dadra & Nagar Haveli & Daman & Diu,2023,3,Insurance,969,1333103.0
Dadra & Nagar Haveli & Daman & Diu,2023,4,Insurance,1207,1973867.0
Dadra & Nagar Haveli & Daman & Diu,2024,1,Insurance,1295,1908509.0
Dadra & Nagar Haveli & Daman & Diu,2024,2,Insurance,1008,1367259.0
Dadra & Nagar Haveli & Daman & Diu,2024,3,Insurance,1052,1602869.0
Dadra & Nagar Haveli & Daman & Diu,2024,4,Insurance,1503,2292529.0
Delhi,2020,2,Insurance,11716,1897480.0
Delhi,2020,3,Insurance,7588,1927285.0
Delhi,2020,4,Insurance,9725,8045442.0
Delhi,2021,1,Insurance,12822,9655261.0
Delhi,2021,2,Insurance,13292,10840929.0
Delhi,2021,3,Insurance,16679,15007079.0
Delhi,2021,4,Insurance,34251,36578331.0
Delhi,2022,1,Insurance,28232,35442069.0
Delhi,2022,2,Insurance,26378,31787281.0
Delhi,2022,3,Insurance,35944,41570160.0
Delhi,2022,4,Insurance,48908,60603173.0
Delhi,2023,1,Insurance,45821,61040038.0
Delhi,2023,2,Insurance,41358,54951108.0
Delhi,2023,3,Insurance,47113,58878500.0
Delhi,2023,4,Insurance,56336,77332401.0
Delhi,2024,1,Insurance,53050,76232346.0
Delhi,2024,2,Insurance,46189,68046072.0
Delhi,2024,3,Insurance,49150,71139489.0
Delhi,2024,4,Insurance,67962,94390728.0
Goa,2020,2,Insurance,341,71100.0
Goa,2020,3,Insurance,683,196864.0
Goa,2020,4,Insurance,614,682364.0
Goa,2021,1,Insurance,879,827384.0
Goa,2021,2,Insurance,1016,1028339.0
Goa,2021,3,Insurance,1214,1385986.0
Goa,2021,4,Insurance,2087,2737316.0
Goa,2022,1,Insurance,2634,3865245.0
Goa,2022,2,Insurance,3524,5093510.0
Goa,2022,3,Insurance,3157,4142108.0
Goa,2022,4,Insurance,4388,6190669.0
Goa,2023,1,Insurance,4097,5859549.0
Goa,2023,2,Insurance,4166,5930801.0
Goa,2023,3,Insurance,3927,5646054.0
Goa,2023,4,Insurance,4883,7411001.0
Goa,2024,1,Insurance,5225,7528093.0
Goa,2024,2,Insurance,5021,7178558.0
Goa,2024,3,Insurance,5354,8051690.0
Goa,2024,4,Insurance,6662,9903374.0
Gujarat,2020,2,Insurance,7697,1430591.0
Gujarat,2020,3,Insurance,12525,3335812.0
Gujarat,2020,4,Insurance,9990,6055037.0
Gujarat,2021,1,Insurance,12673,7288104.0
Gujarat,2021,2,Insurance,14676,10263998.0
Gujarat,2021,3,Insurance,15348,12341903.0
Gujarat,2021,4,Insurance,19142,23282921.0
Gujarat,2022,1,Insurance,22221,29953433.0
Gujarat,2022,2,Insurance,25381,32090965.0
Gujarat,2022,3,Insurance,31302,37557227.0
Gujarat,2022,4,Insurance,36418,50629325.0
Gujarat,2023,1,Insurance,32600,46937694.0
Gujarat,2023,2,Insurance,32484,46254095.0
Gujarat,2023,3,Insurance,51049,65768085.0
Gujarat,2023,4,Insurance,41128,66735446.0
Gujarat,2024,1,Insurance,44665,62633910.0
Gujarat,2024,2,Insurance,44007,63866463.0
Gujarat,2024,3,Insurance,46763,70950327.0
Gujarat,2024,4,Insurance,62526,91858105.0
Haryana,2020,2,Insurance,6321,1179814.0
Haryana,2020,3,Insurance,7139,1884868.0
Haryana,2020,4,Insurance,8283,5974278.0
Haryana,2021,1,Insurance,11038,7297880.0
Haryana,2021,2,Insurance,12516,11272453.0
Haryana,2021,3,Insurance,14163,13215898.0
Haryana,2021,4,Insurance,19489,25885838.0
Haryana,2022,1,Insurance,22783,32526943.0
Haryana,2022,2,Insurance,25352,33759068.0
Haryana,2022,3,Insurance,35346,45402800.0
Haryana,2022,4,Insurance,37971,56627115.0
Haryana,2023,1,Insurance,37287,61127194.0
Haryana,2023,2,Insurance,40710,62186066.0
Haryana,2023,3,Insurance,42815,61782311.0
Haryana,2023,4,Insurance,47506,80747159.0
Haryana,2024,1,Insurance,50391,81816509.0
Haryana,2024,2,Insurance,46085,74779879.0
Haryana,2024,3,Insurance,49735,79198642.0
Haryana,2024,4,Insurance,58808,94316512.0
Himachal Pradesh,2020,2,Insurance,392,77936.0
Himachal Pradesh,2020,3,Insurance,531,165559.0
Himachal Pradesh,2020,4,Insurance,710,630966.0
Himachal Pradesh,2021,1,Insurance,1064,906492.0
Himachal Pradesh,2021,2,Insurance,1210,1402338.0
Himachal Pradesh,2021,3,Insurance,1759,2444545.0
Himachal Pradesh,2021,4,Insurance,2474,4667661.0
Himachal Pradesh,2022,1,Insurance,2768,5234739.0
Himachal Pradesh,2022,2,Insurance,2831,5371078.0
Himachal Pradesh,2022,3,Insurance,3641,6161692.0
Himachal Pradesh,2022,4,Insurance,4565,9060436.0
Himachal Pradesh,2023,1,Insurance,3909,7826133.0
Himachal Pradesh,2023,2,Insurance,4197,8499425.0
Himachal Pradesh,2023,3,Insurance,3935,7869767.0
Himachal Pradesh,2023,4,Insurance,5211,11898824.0
Himachal Pradesh,2024,1,Insurance,5430,10433254.0
Himachal Pradesh,2024,2,Insurance,5194,10008705.0
Himachal Pradesh,2024,3,Insurance,5272,10538999.0
Himachal Pradesh,2024,4,Insurance,6697,14090523.0
Jammu & Kashmir,2020,2,Insurance,206,48484.0
Jammu & Kashmir,2020,3,Insurance,441,133339.0
Jammu & Kashmir,2020,4,Insurance,647,734861.0
Jammu & Kashmir,2021,1,Insurance,1105,1546288.0
Jammu & Kashmir,2021,2,Insurance,1197,1832089.0
Jammu & Kashmir,2021,3,Insurance,1452,2139133.0
Jammu & Kashmir,2021,4,Insurance,3113,5223317.0
Jammu & Kashmir,2022,1,Insurance,3584,7244267.0
Jammu & Kashmir,2022,2,Insurance,4071,7729792.0
Jammu & Kashmir,2022,3,Insurance,4794,8281826.0
Jammu & Kashmir,2022,4,Insurance,5031,10111183.0
Jammu & Kashmir,2023,1,Insurance,4555,10275877.0
Jammu & Kashmir,2023,2,Insurance,5262,10974839.0
Jammu & Kashmir,2023,3,Insurance,5453,10975874.0
Jammu & Kashmir,2023,4,Insurance,6264,13932309.0
Jammu & Kashmir,2024,1,Insurance,7313,14695182.0
Jammu & Kashmir,2024,2,Insurance,7397,14237707.0
Jammu & Kashmir,2024,3,Insurance,7597,15554635.0
Jammu & Kashmir,2024,4,Insurance,8893,18252110.0
Jharkhand,2020,2,Insurance,2063,405031.0
Jharkhand,2020,3,Insurance,5368,1349934.0
Jharkhand,2020,4,Insurance,3659,2857024.0
Jharkhand,2021,1,Insurance,4879,3274851.0
Jharkhand,2021,2,Insurance,5180,5084230.0
Jharkhand,2021,3,Insurance,6794,7046048.0
Jharkhand,2021,4,Insurance,8465,11190423.0
Jharkhand,2022,1,Insurance,9373,13819466.0
Jharkhand,2022,2,Insurance,9477,13464840.0
Jharkhand,2022,3,Insurance,14388,18156857.0
Jharkhand,2022,4,Insurance,16779,23147805.0
Jharkhand,2023,1,Insurance,16108,23823406.0
Jharkhand,2023,2,Insurance,16662,23216215.0
Jharkhand,2023,3,Insurance,19478,25165702.0
Jharkhand,2023,4,Insurance,22398,33484644.0
Jharkhand,2024,1,Insurance,24824,34332990.0
Jharkhand,2024,2,Insurance,22224,32245129.0
Jharkhand,2024,3,Insurance,23629,34353146.0
Jharkhand,2024,4,Insurance,29079,42253614.0
Karnataka,2020,2,Insurance,27358,4794150.0
Karnataka,2020,3,Insurance,53701,12407394.0
Karnataka,2020,4,Insurance,31747,26814968.0
Karnataka,2021,1,Insurance,37595,30183325.0
Karnataka,2021,2,Insurance,40969,39501006.0
Karnataka,2021,3,Insurance,47468,48078366.0
Karnataka,2021,4,Insurance,74436,90723288.0
Karnataka,2022,1,Insurance,95640,130733580.0
Karnataka,2022,2,Insurance,93385,123228632.0
Karnataka,2022,3,Insurance,110273,144605784.0
Karnataka,2022,4,Insurance,133971,185063287.0
Karnataka,2023,1,Insurance,127376,186543426.0
Karnataka,2023,2,Insurance,117232,175704013.0
Karnataka,2023,3,Insurance,139699,199448538.0
Karnataka,2023,4,Insurance,156076,248056311.0
Karnataka,2024,1,Insurance,169357,264708700.0
Karnataka,2024,2,Insurance,142599,239304982.0
Karnataka,2024,3,Insurance,174990,287393291.0
Karnataka,2024,4,Insurance,183532,305861806.0
Kerala,2020,2,Insurance,1588,360216.0
Kerala,2020,3,Insurance,8811,2830361.0
Kerala,2020,4,Insurance,5479,4445525.0
Kerala,2021,1,Insurance,5731,5040506.0
Kerala,2021,2,Insurance,9530,9676588.0
Kerala,2021,3,Insurance,10926,13255646.0
Kerala,2021,4,Insurance,19199,31260319.0
Kerala,2022,1,Insurance,37110,64172190.0
Kerala,2022,2,Insurance,35667,59920203.0
Kerala,2022,3,Insurance,54587,85390924.0
Kerala,2022,4,Insurance,65563,103982997.0
Kerala,2023,1,Insurance,62377,101786828.0
Kerala,2023,2,Insurance,61032,100620604.0
Kerala,2023,3,Insurance,66059,110021582.0
Kerala,2023,4,Insurance,73543,121905046.0
Kerala,2024,1,Insurance,73106,115101791.0
Kerala,2024,2,Insurance,65271,108142369.0
Kerala,2024,3,Insurance,79123,131721699.0
Kerala,2024,4,Insurance,89533,144083113.0
Ladakh,2020,2,Insurance,14,2538.0
Ladakh,2020,3,Insurance,33,10260.0
Ladakh,2020,4,Insurance,27,34206.0
Ladakh,2021,1,Insurance,32,34530.0
Ladakh,2021,2,Insurance,46,86251.0
Ladakh,2021,3,Insurance,192,174052.0
Ladakh,2021,4,Insurance,76,195966.0
Ladakh,2022,1,Insurance,75,193935.0
Ladakh,2022,2,Insurance,113,269446.0
Ladakh,2022,3,Insurance,137,369742.0
Ladakh,2022,4,Insurance,162,410091.0
Ladakh,2023,1,Insurance,161,495736.0
Ladakh,2023,2,Insurance,215,635831.0
Ladakh,2023,3,Insurance,232,649027.0
Ladakh,2023,4,Insurance,242,718967.0
Ladakh,2024,1,Insurance,291,614435.0
Ladakh,2024,2,Insurance,415,964349.0
Ladakh,2024,3,Insurance,446,978637.0
Ladakh,2024,4,Insurance,429,970334.0
Lakshadweep,2020,3,Insurance,4,1199.0
Lakshadweep,2021,1,Insurance,4,5225.0
Lakshadweep,2021,2,Insurance,5,6962.0
Lakshadweep,2021,3,Insurance,19,16034.0
Lakshadweep,2021,4,Insurance,11,17096.0
Lakshadweep,2022,1,Insurance,27,34664.0
Lakshadweep,2022,2,Insurance,18,27463.0
Lakshadweep,2022,3,Insurance,38,41504.0
Lakshadweep,2022,4,Insurance,15,27135.0
Lakshadweep,2023,1,Insurance,26,30199.0
Lakshadweep,2023,2,Insurance,15,38384.0
Lakshadweep,2023,3,Insurance,12,12407.0
Lakshadweep,2023,4,Insurance,53,78346.0
Lakshadweep,2024,1,Insurance,15,12935.0
Lakshadweep,2024,2,Insurance,26,33630.0
Lakshadweep,2024,3,Insurance,49,55312.0
Lakshadweep,2024,4,Insurance,159,185542.0
Madhya Pradesh,2020,2,Insurance,6283,1198701.0
Madhya Pradesh,2020,3,Insurance,14476,3496126.0
Madhya Pradesh,2020,4,Insurance,10653,4897124.0
Madhya Pradesh,2021,1,Insurance,14427,5567927.0
Madhya Pradesh,2021,2,Insurance,14803,9787391.0
Madhya Pradesh,2021,3,Insurance,11990,7806258.0
Madhya Pradesh,2021,4,Insurance,15069,17524432.0
Madhya Pradesh,2022,1,Insurance,13791,19901462.0
Madhya Pradesh,2022,2,Insurance,14629,20159098.0
Madhya Pradesh,2022,3,Insurance,22733,29185118.0
Madhya Pradesh,2022,4,Insurance,29234,42712883.0
Madhya Pradesh,2023,1,Insurance,26393,45135679.0
Madhya Pradesh,2023,2,Insurance,27027,44871764.0
Madhya Pradesh,2023,3,Insurance,29300,46963348.0
Madhya Pradesh,2023,4,Insurance,40784,73801070.0
Madhya Pradesh,2024,1,Insurance,51223,85215982.0
Madhya Pradesh,2024,2,Insurance,41429,73836667.0
Madhya Pradesh,2024,3,Insurance,43248,77995668.0
Madhya Pradesh,2024,4,Insurance,59688,101096769.0
Maharashtra,2020,2,Insurance,39836,6879717.0
Maharashtra,2020,3,Insurance,71662,19230156.0
Maharashtra,2020,4,Insurance,44798,27113814.0
Maharashtra,2021,1,Insurance,55792,33137753.0
Maharashtra,2021,2,Insurance,70381,46763103.0
Maharashtra,2021,3,Insurance,52268,41313307.0
Maharashtra,2021,4,Insurance,82423,93262227.0
Maharashtra,2022,1,Insurance,88015,117411928.0
Maharashtra,2022,2,Insurance,80935,104603934.0
Maharashtra,2022,3,Insurance,90958,113835208.0
Maharashtra,2022,4,Insurance,125900,174915648.0
Maharashtra,2023,1,Insurance,112174,166596248.0
Maharashtra,2023,2,Insurance,102754,157303399.0
Maharashtra,2023,3,Insurance,104872,151171882.0
Maharashtra,2023,4,Insurance,136968,217657114.0
Maharashtra,2024,1,Insurance,149016,224725389.0
Maharashtra,2024,2,Insurance,118933,198945046.0
Maharashtra,2024,3,Insurance,119776,201319952.0
Maharashtra,2024,4,Insurance,168078,266942711.0
Manipur,2020,2,Insurance,55,12554.0
Manipur,2020,3,Insurance,134,45164.0
Manipur,2020,4,Insurance,90,49057.0
Manipur,2021,1,Insurance,136,72254.0
Manipur,2021,2,Insurance,127,81332.0
Manipur,2021,3,Insurance,111,133016.0
Manipur,2021,4,Insurance,145,271789.0
Manipur,2022,1,Insurance,177,517854.0
Manipur,2022,2,Insurance,218,553649.0
Manipur,2022,3,Insurance,200,403213.0
Manipur,2022,4,Insurance,271,620655.0
Manipur,2023,1,Insurance,222,632084.0
Manipur,2023,2,Insurance,123,341671.0
Manipur,2023,3,Insurance,76,193021.0
Manipur,2023,4,Insurance,225,476626.0
Manipur,2024,1,Insurance,385,685052.0
Manipur,2024,2,Insurance,346,647411.0
Manipur,2024,3,Insurance,285,587893.0
Manipur,2024,4,Insurance,405,826159.0
Meghalaya,2020,2,Insurance,41,8829.0
Meghalaya,2020,3,Insurance,112,33615.0
Meghalaya,2020,4,Insurance,92,71029.0
Meghalaya,2021,1,Insurance,107,128776.0
Meghalaya,2021,2,Insurance,139,148434.0
Meghalaya,2021,3,Insurance,139,214554.0
Meghalaya,2021,4,Insurance,263,451612.0
Meghalaya,2022,1,Insurance,337,729211.0
Meghalaya,2022,2,Insurance,379,789094.0
Meghalaya,2022,3,Insurance,600,1039491.0
Meghalaya,2022,4,Insurance,627,1189529.0
Meghalaya,2023,1,Insurance,562,1187523.0
Meghalaya,2023,2,Insurance,730,1551577.0
Meghalaya,2023,3,Insurance,809,1728076.0
Meghalaya,2023,4,Insurance,806,1843364.0
Meghalaya,2024,1,Insurance,1030,1987107.0
Meghalaya,2024,2,Insurance,1235,2318007.0
Meghalaya,2024,3,Insurance,1140,2443878.0
Meghalaya,2024,4,Insurance,1313,2493656.0
Mizoram,2020,2,Insurance,31,7322.0
Mizoram,2020,3,Insurance,74,24691.0
Mizoram,2020,4,Insurance,81,119124.0
Mizoram,2021,1,Insurance,415,302841.0
Mizoram,2021,2,Insurance,187,124805.0
Mizoram,2021,3,Insurance,81,83641.0
Mizoram,2021,4,Insurance,100,175847.0
Mizoram,2022,1,Insurance,85,189428.0
Mizoram,2022,2,Insurance,76,115090.0
Mizoram,2022,3,Insurance,310,471306.0
Mizoram,2022,4,Insurance,350,612551.0
Mizoram,2023,1,Insurance,171,326688.0
Mizoram,2023,2,Insurance,119,232928.0
Mizoram,2023,3,Insurance,166,271799.0
Mizoram,2023,4,Insurance,312,557950.0
Mizoram,2024,1,Insurance,277,427693.0
Mizoram,2024,2,Insurance,214,331455.0
Mizoram,2024,3,Insurance,186,275746.0
Mizoram,2024,4,Insurance,489,811687.0
Nagaland,2020,2,Insurance,41,9791.0
Nagaland,2020,3,Insurance,89,20798.0
Nagaland,2020,4,Insurance,62,38836.0
Nagaland,2021,1,Insurance,79,42973.0
Nagaland,2021,2,Insurance,85,139479.0
Nagaland,2021,3,Insurance,91,123643.0
Nagaland,2021,4,Insurance,183,341424.0
Nagaland,2022,1,Insurance,242,529223.0
Nagaland,2022,2,Insurance,186,380878.0
Nagaland,2022,3,Insurance,210,439669.0
Nagaland,2022,4,Insurance,367,700864.0
Nagaland,2023,1,Insurance,320,704957.0
Nagaland,2023,2,Insurance,269,628890.0
Nagaland,2023,3,Insurance,268,632287.0
Nagaland,2023,4,Insurance,331,822973.0
Nagaland,2024,1,Insurance,526,925684.0
Nagaland,2024,2,Insurance,418,685292.0
Nagaland,2024,3,Insurance,410,820539.0
Nagaland,2024,4,Insurance,568,1168417.0
Odisha,2020,2,Insurance,2981,615193.0
Odisha,2020,3,Insurance,10955,2640191.0
Odisha,2020,4,Insurance,7526,4208701.0
Odisha,2021,1,Insurance,8236,4383330.0
Odisha,2021,2,Insurance,7942,5832924.0
Odisha,2021,3,Insurance,7967,6008686.0
Odisha,2021,4,Insurance,9093,10941626.0
Odisha,2022,1,Insurance,9627,14539309.0
Odisha,2022,2,Insurance,12371,16631095.0
Odisha,2022,3,Insurance,18898,23308531.0
Odisha,2022,4,Insurance,24538,33565401.0
Odisha,2023,1,Insurance,18899,29360555.0
Odisha,2023,2,Insurance,22163,31307110.0
Odisha,2023,3,Insurance,20263,29008350.0
Odisha,2023,4,Insurance,25065,39753392.0
Odisha,2024,1,Insurance,27977,40032495.0
Odisha,2024,2,Insurance,24579,36840474.0
Odisha,2024,3,Insurance,26524,40608651.0
Odisha,2024,4,Insurance,33165,46973224.0
Puducherry,2020,2,Insurance,112,22251.0
Puducherry,2020,3,Insurance,191,58399.0
Puducherry,2020,4,Insurance,234,197955.0
Puducherry,2021,1,Insurance,372,351827.0
Puducherry,2021,2,Insurance,526,508277.0
Puducherry,2021,3,Insurance,561,556442.0
Puducherry,2021,4,Insurance,786,946607.0
Puducherry,2022,1,Insurance,1199,1663404.0
Puducherry,2022,2,Insurance,1156,1597786.0
Puducherry,2022,3,Insurance,1585,2025529.0
Puducherry,2022,4,Insurance,2331,2693130.0
Puducherry,2023,1,Insurance,1955,2593091.0
Puducherry,2023,2,Insurance,1809,2614006.0
Puducherry,2023,3,Insurance,2232,2891647.0
Puducherry,2023,4,Insurance,2447,3419395.0
Puducherry,2024,1,Insurance,2702,3793554.0
Puducherry,2024,2,Insurance,2304,3322997.0
Puducherry,2024,3,Insurance,2600,3968523.0
Puducherry,2024,4,Insurance,2838,3896033.0
Punjab,2020,2,Insurance,2036,399452.0
Punjab,2020,3,Insurance,2488,684753.0
Punjab,2020,4,Insurance,2451,1884291.0
Punjab,2021,1,Insurance,3783,2558380.0
Punjab,2021,2,Insurance,4047,3768919.0
Punjab,2021,3,Insurance,4887,5271559.0
Punjab,2021,4,Insurance,6638,9912828.0
Punjab,2022,1,Insurance,7475,13155682.0
Punjab,2022,2,Insurance,9175,15465367.0
Punjab,2022,3,Insurance,12370,19381895.0
Punjab,2022,4,Insurance,12187,21727831.0
Punjab,2023,1,Insurance,10816,23330966.0
Punjab,2023,2,Insurance,13187,24998175.0
Punjab,2023,3,Insurance,14048,24461488.0
Punjab,2023,4,Insurance,13777,28715828.0
Punjab,2024,1,Insurance,14729,28213940.0
Punjab,2024,2,Insurance,14129,27164397.0
Punjab,2024,3,Insurance,15509,30111034.0
Punjab,2024,4,Insurance,16279,31878987.0
Rajasthan,2020,2,Insurance,5373,1095933.0
Rajasthan,2020,3,Insurance,15235,3758527.0
Rajasthan,2020,4,Insurance,12509,6471573.0
Rajasthan,2021,1,Insurance,17800,8074225.0
Rajasthan,2021,2,Insurance,18281,14357445.0
Rajasthan,2021,3,Insurance,16643,12793862.0
Rajasthan,2021,4,Insurance,19375,24455262.0
Rajasthan,2022,1,Insurance,21517,31576932.0
